,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
1,2011,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
2,2012,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
3,2013,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
4,2014,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
5,2015,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
6,2016,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
7,2017,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
8,2018,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
9,2019,100.0,EG.ELC.ACCS.ZS,CAN,Canada,North America,High income,Not classified
10,2010,99.7,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2011,99.8572235107,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
12,2012,99.9648742676,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
13,2013,99.9970092773,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
14,2014,100.0,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
15,2015,100.0,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
16,2016,100.0,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
17,2017,100.0,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
18,2018,100.0,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
19,2019,100.0,EG.ELC.ACCS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
20,2010,76.3,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
21,2011,67.6,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
22,2012,79.9,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
23,2013,80.7380447388,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
24,2014,83.5852127075,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
25,2015,88.0,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
26,2016,89.5348815918,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
27,2017,92.4568328857,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
28,2018,95.1932983398,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
29,2019,97.815284729,EG.ELC.ACCS.ZS,IND,India,South Asia,Lower middle income,IBRD
30,2010,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
31,2011,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
32,2012,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
33,2013,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
34,2014,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
35,2015,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
36,2016,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
37,2017,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
38,2018,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
39,2019,100.0,EG.ELC.ACCS.ZS,USA,United States,North America,High income,Not classified
